benchmark,condition,model,task,status,points,total,reason,stage,tool_calls,hook_runs,router_preloaded,termination_reason,turn_status,source,verifier_replay
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/gpt2-codegolf,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,6,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/gpt2-codegolf__zHqNFnF/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/build-pov-ray,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,13,30,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/build-pov-ray__QwRDipw/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/feal-differential-cryptanalysis,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,18,38,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/feal-differential-cryptanalysis__PNb24Fp/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/sparql-university,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,7,16,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/sparql-university__yzduhYc/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/hf-model-inference,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,5,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/hf-model-inference__qxJZZNu/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/tune-mjcf,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,9,20,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/tune-mjcf__dWvEKG6/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/portfolio-optimization,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,9,20,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/portfolio-optimization__WuwdWYC/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/count-dataset-tokens,invalid,,,AgentTimeoutError,rick-saber-tbapi-gpt-20260913-r1-resume2,14,,True,,,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/count-dataset-tokens__cddcRx8/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/mcmc-sampling-stan,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,18,40,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/mcmc-sampling-stan__ek84RLs/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/configure-git-webserver,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,11,25,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/configure-git-webserver__AL6h6FR/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/compile-compcert,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,16,True,total_high_risk_block_limit,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/compile-compcert__NPjTQtF/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/schemelike-metacircular-eval,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,11,24,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/schemelike-metacircular-eval__EzJv2Wa/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/break-filter-js-from-html,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,8,18,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/break-filter-js-from-html__vDG7hA6/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/make-doom-for-mips,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,8,22,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/make-doom-for-mips__b6229xR/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/modernize-scientific-stack,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,2,8,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/modernize-scientific-stack__85LsMYR/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/llm-inference-batching-scheduler,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-resume2,8,23,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/llm-inference-batching-scheduler__DbyFEKv/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/pypi-server,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,13,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/pypi-server__dk7xtJ6/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/pytorch-model-cli,invalid,,,VerifierTimeoutError,rick-saber-tbapi-gpt-20260913-r1-retry1,16,34,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-retry1/pytorch-model-cli__WbXBw5C/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/adaptive-rejection-sampler,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,13,28,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/adaptive-rejection-sampler__xhXCPCy/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/git-multibranch,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,1,5,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/git-multibranch__3L9NViX/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/protein-assembly,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,13,28,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/protein-assembly__eoZLHCb/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/fix-ocaml-gc,invalid,,,RuntimeError,rick-saber-tbapi-gpt-20260913-r1-retry1,1,3,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-retry1/fix-ocaml-gc__AWMxazj/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/caffe-cifar-10,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/caffe-cifar-10__qZXtUh2/result.json,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/caffe-cifar-10__qZXtUh2/verifier/repair-480f80aa3735/completion.json
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/circuit-fibsqrt,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,11,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/circuit-fibsqrt__URj89mx/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/video-processing,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,5,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/video-processing__RT3249L/result.json,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/video-processing__RT3249L/verifier/repair-fb506a432f31/completion.json
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/merge-diff-arc-agi-task,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,13,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/merge-diff-arc-agi-task__XJ52KVt/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/filter-js-from-html,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/filter-js-from-html__Q88KXCE/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/sanitize-git-repo,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-resume2,18,38,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/sanitize-git-repo__RJUfdyc/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/password-recovery,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,7,16,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/password-recovery__VGYGsCA/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/mteb-retrieve,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,7,16,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/mteb-retrieve__TbicGPS/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/qemu-startup,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,1,7,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/qemu-startup__NAGXxaV/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/mailman,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,19,40,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/mailman__i9Qnddh/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/fix-code-vulnerability,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,8,18,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/fix-code-vulnerability__W5FdVnn/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/feal-linear-cryptanalysis,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,11,27,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/feal-linear-cryptanalysis__bWtczvY/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/db-wal-recovery,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,7,16,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/db-wal-recovery__A4wNb47/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/sam-cell-seg,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/sam-cell-seg__rKJWakc/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/nginx-request-logging,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/nginx-request-logging__m7mhWao/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/install-windows-3.11,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,6,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/install-windows-3.11__RTbiaRS/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/kv-store-grpc,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-resume2,5,12,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/kv-store-grpc__y2zT2JE/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/path-tracing,invalid,,,RuntimeError,rick-saber-tbapi-gpt-20260913-r1-resume2,0,1,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/path-tracing__fk4b5eZ/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/gcode-to-text,invalid,,,AgentTimeoutError,rick-saber-tbapi-gpt-20260913-r1-retry1,31,63,True,,,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-retry1/gcode-to-text__qrHmRvC/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/path-tracing-reverse,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-resume2,33,71,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/path-tracing-reverse__S9eex33/result.json,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/path-tracing-reverse__S9eex33/verifier/repair-ddd9fe02beff/completion.json
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/headless-terminal,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-resume2,6,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/headless-terminal__dAWtQgw/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/write-compressor,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,1,6,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/write-compressor__yhfgbfS/result.json,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/write-compressor__yhfgbfS/verifier/repair-2109f224766a/completion.json
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/reshard-c4-data,invalid,,,RuntimeError,rick-saber-tbapi-gpt-20260913-r1-resume2,0,1,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/reshard-c4-data__kX4j8ba/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/chess-best-move,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,7,16,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/chess-best-move__YKVRnun/result.json,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/chess-best-move__YKVRnun/verifier/repair-1d3d010c9a9f/completion.json
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/torch-tensor-parallelism,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,9,20,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/torch-tensor-parallelism__7oCSJ8g/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/cancel-async-tasks,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,2,6,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/cancel-async-tasks__Kndo3a3/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/git-leak-recovery,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,12,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/git-leak-recovery__d3gCgTq/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/build-cython-ext,invalid,,,verifier_execution_unconfirmed,rick-saber-tbapi-gpt-20260913-r1-resume2,17,39,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/build-cython-ext__VJxz2g9/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/sqlite-db-truncate,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,6,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/sqlite-db-truncate__wc3BtXq/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/custom-memory-heap-crash,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,12,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/custom-memory-heap-crash__Szw3m4r/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/extract-moves-from-video,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,13,31,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/extract-moves-from-video__XWY3s4w/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/regex-chess,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/regex-chess__bfonp2X/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/log-summary-date-ranges,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/log-summary-date-ranges__Z8uaZTL/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/extract-elf,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,11,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/extract-elf__E22oQY6/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/mteb-leaderboard,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,9,20,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/mteb-leaderboard__Q9qRxnj/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/query-optimize,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,9,20,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/query-optimize__a4UnwmF/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/large-scale-text-editing,invalid,,,RuntimeError,rick-saber-tbapi-gpt-20260913-r1-wsrepair1-smoke,7,16,True,,failed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-wsrepair1-smoke/large-scale-text-editing__wDvi4vq/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/build-pmars,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,5,14,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/build-pmars__se5rLnt/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/make-mips-interpreter,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-resume2,11,26,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-resume2/make-mips-interpreter__RJNUy4V/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/regex-log,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,3,8,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/regex-log__JdCAycZ/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/constraints-scheduling,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,10,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/constraints-scheduling__xDezaTj/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/overfull-hbox,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,37,76,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/overfull-hbox__ayWQBvR/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/distribution-search,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,1,7,True,consecutive_safety_blocks,interrupted_by_harness,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/distribution-search__JUoqiTJ/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/vulnerable-secret,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,4,13,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/vulnerable-secret__EcqqmhB/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/sqlite-with-gcov,valid,0.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,3,11,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/sqlite-with-gcov__T9y7zHN/result.json,
Terminal-Bench 2.1,skills,GPT-5.6 Sol,terminal-bench/code-from-image,valid,1.0,1,,rick-saber-tbapi-gpt-20260913-r1-full,25,52,True,,completed,/srv/benchmark/skills/results/terminal-api-foreign-20260913-r1/rick-saber-tbapi-gpt-20260913-r1-full/code-from-image__uASHKLK/result.json,
