batch,model,condition,task,scored,reward,error_type,source
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/gpt2-codegolf,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/gpt2-codegolf__orLTHes/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/fix-ocaml-gc,False,,RuntimeError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/fix-ocaml-gc__LonNh37/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/torch-pipeline-parallelism,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/torch-pipeline-parallelism__eVZCF7B/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/query-optimize,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/query-optimize__EZCTRA9/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/build-pov-ray,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/build-pov-ray__tG2B4Hb/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/video-processing,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/video-processing__Lun3voc/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/vulnerable-secret,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/vulnerable-secret__WNisw74/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/write-compressor,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/write-compressor__gVciWGz/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/pypi-server,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/pypi-server__5ZE3VBa/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/db-wal-recovery,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/db-wal-recovery__cAky5iU/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/chess-best-move,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/chess-best-move__d5VEY9M/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/financial-document-processor,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/financial-document-processor__vfzKjzV/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/modernize-scientific-stack,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/modernize-scientific-stack__at9Sfpn/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/nginx-request-logging,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/nginx-request-logging__DrgmWMs/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/configure-git-webserver,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/configure-git-webserver__z3Y2Bq2/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/largest-eigenval,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/largest-eigenval__2qFegha/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/password-recovery,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/password-recovery__Vyw5pxy/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/cancel-async-tasks,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/cancel-async-tasks__753znFR/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/headless-terminal,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/headless-terminal__mRDdsTR/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/make-mips-interpreter,False,,RuntimeError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/make-mips-interpreter__vPmjnvF/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/overfull-hbox,False,,AgentTimeoutError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/overfull-hbox__NBmTPcY/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/train-fasttext,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/train-fasttext__3oLojAR/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/schemelike-metacircular-eval,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/schemelike-metacircular-eval__LBEC8Jn/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/log-summary-date-ranges,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/log-summary-date-ranges__B7dSmgr/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/sam-cell-seg,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/sam-cell-seg__UYUHhKE/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/openssl-selfsigned-cert,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/openssl-selfsigned-cert__EvuVWW9/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/pytorch-model-cli,False,,VerifierTimeoutError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/pytorch-model-cli__XPyjZFC/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/adaptive-rejection-sampler,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/adaptive-rejection-sampler__ELuuxeY/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/regex-chess,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/regex-chess__ZUZ5x2o/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/mailman,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/mailman__SJWnVVn/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/path-tracing-reverse,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/path-tracing-reverse__JvPGiQk/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/feal-differential-cryptanalysis,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/feal-differential-cryptanalysis__WdnHAKy/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/sparql-university,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/sparql-university__U9oU4oo/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/multi-source-data-merger,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/multi-source-data-merger__4Wwpv7i/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/extract-moves-from-video,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/extract-moves-from-video__VcFCFb4/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/kv-store-grpc,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/kv-store-grpc__aVgxbwB/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/constraints-scheduling,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/constraints-scheduling__cirufbY/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/break-filter-js-from-html,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/break-filter-js-from-html__kK3xyQ8/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/install-windows-3.11,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/install-windows-3.11__ezhWCUF/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/rstan-to-pystan,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/rstan-to-pystan__Bf56Zip/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/build-pmars,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/build-pmars__UtBGg6y/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/llm-inference-batching-scheduler,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/llm-inference-batching-scheduler__ueRMdm5/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/reshard-c4-data,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/reshard-c4-data__FeEtH8P/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/feal-linear-cryptanalysis,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/feal-linear-cryptanalysis__USapwJp/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/dna-insert,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/dna-insert__r2pjuga/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/protein-assembly,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/protein-assembly__9LWoQvb/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/cobol-modernization,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/cobol-modernization__bBxH72c/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/torch-tensor-parallelism,False,,CancelledError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/torch-tensor-parallelism__gJDhPx3/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/count-dataset-tokens,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/count-dataset-tokens__XgdQJLC/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/qemu-alpine-ssh,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/qemu-alpine-ssh__ymZimbS/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/distribution-search,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/distribution-search__UFznD6N/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/sanitize-git-repo,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/sanitize-git-repo__kJdkZyG/result.json
rick-saber-tb21-full-glm-20260911-r1,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/path-tracing,False,,TimeoutExpired,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r1/path-tracing__4CoJXaK/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/vulnerable-secret,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/vulnerable-secret__xqS9Du9/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/regex-chess,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/regex-chess__UYDBfFC/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/git-multibranch,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/git-multibranch__nVjc5Rd/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/model-extraction-relu-logits,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/model-extraction-relu-logits__dh2gE65/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/dna-insert,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/dna-insert__k4SV7Js/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/mteb-retrieve,False,,AgentTimeoutError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/mteb-retrieve__ocZpnog/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/sqlite-with-gcov,False,,RuntimeError,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/sqlite-with-gcov__znuqgLf/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/regex-log,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/regex-log__UphNm8X/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/modernize-scientific-stack,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/modernize-scientific-stack__PquyJiP/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/git-leak-recovery,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/git-leak-recovery__mxUNnDa/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/kv-store-grpc,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/kv-store-grpc__JGNcSVB/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/openssl-selfsigned-cert,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/openssl-selfsigned-cert__A858oHH/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/pypi-server,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/pypi-server__bBrpZeQ/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/fix-git,True,1.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/fix-git__k77nERk/result.json
rick-saber-tb21-full-glm-20260911-r3,ZhipuAI/GLM-4.7-Flash,skills,terminal-bench/schemelike-metacircular-eval,True,0.0,,/srv/benchmark/skills/results/terminal-bench/rick-saber-tb21-full-glm-20260911-r3/schemelike-metacircular-eval__xz3HP2A/result.json
