condition,model,stage,returned,valid_excluding_38,points,total,source
skills100,GLM-5.1,skills100-glm5-repair4-w16,3,2,0,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-repair4-w16
skills100,GLM-5.1,skills100-glm5-held-retry1,4,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-held-retry1
skills100,GLM-5.1,skills100-glm5-supplement-20260913-r1-full,4,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-supplement-20260913-r1-full
skills100,GLM-5.1,skills100-glm5-supplement-20260913-r2-full,4,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/glm5/skills100-glm5-supplement-20260913-r2-full
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-parallel1-w128,204,58,23,58,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-parallel1-w128
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-repair1-smoke,0,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-repair1-smoke
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-repair2-smoke,2,2,2,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-repair2-smoke
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-repair2-w32,103,76,34,76,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-repair2-w32
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-entrypoint-regrade-r3-safety-relocation,1,1,1,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-entrypoint-regrade-r3-safety-relocation
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-entrypoint-regrade-r3-safety-residence,1,1,1,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-entrypoint-regrade-r3-safety-residence
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-repair4-w32,44,39,22,39,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-repair4-w32
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-held-retry1,2,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-held-retry1
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-supplement-20260913-r1-full,3,3,0,3,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-supplement-20260913-r1-full
skills100,DeepSeek-V4-Flash,skills100-deepseek-flash-supplement-20260913-r2-full,2,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/deepseek-flash/skills100-deepseek-flash-supplement-20260913-r2-full
skills100,Qwen3.8-27B,skills100-qwen-parallel1-w128,222,1,1,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-parallel1-w128
skills100,Qwen3.8-27B,skills100-qwen-repair1-smoke,0,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-repair1-smoke
skills100,Qwen3.8-27B,skills100-qwen-repair2-smoke,2,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-repair2-smoke
skills100,Qwen3.8-27B,skills100-qwen-repair2-w32,22,2,2,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-repair2-w32
skills100,Qwen3.8-27B,skills100-qwen-repair3-w8,1,1,0,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-repair3-w8
skills100,Qwen3.8-27B,skills100-qwen-repair4-w8,178,90,40,90,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-repair4-w8
skills100,Qwen3.8-27B,skills100-qwen-supplement-20260913-r1-full,6,6,2,6,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-supplement-20260913-r1-full
skills100,Qwen3.8-27B,skills100-qwen-supplement-20260913-r2-full,82,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-supplement-20260913-r2-full
skills100,Qwen3.8-27B,skills100-qwen-healthfix-20260913-r1-smoke,1,1,0,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-healthfix-20260913-r1-smoke
skills100,Qwen3.8-27B,skills100-qwen-healthfix-20260913-r1-egressfix-smoke,1,1,0,1,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-healthfix-20260913-r1-egressfix-smoke
skills100,Qwen3.8-27B,skills100-qwen-healthfix-20260913-r1-egressfix-full,2,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/qwen/skills100-qwen-healthfix-20260913-r1-egressfix-full
skills100,gpt-oss-120B（本机 GPU）,skills100-gptoss-local-20260913-r1-smoke,2,2,1,2,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/gptoss/skills100-gptoss-local-20260913-r1-smoke
skills100,gpt-oss-120B（本机 GPU）,skills100-gptoss-local-20260913-r1-full,182,161,65,161,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/gptoss/skills100-gptoss-local-20260913-r1-full
skills100,gpt-oss-120B（本机 GPU）,skills100-gptoss-local-20260913-r1-retry1,15,10,5,10,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/gptoss/skills100-gptoss-local-20260913-r1-retry1
skills100,gpt-oss-120B（本机 GPU）,skills100-gptoss-local-20260913-r1-resume2,6,0,0,0,/srv/benchmark/skills/results/oas-api222-20260912-r1/skills100/gptoss/skills100-gptoss-local-20260913-r1-resume2
