source,group,files,uncompressed_bytes,compressed_bytes,parts,credential_redactions,deployment_redacted_files
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-repair2-w32,449,176763781,21345667,6,7284,237
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-repair4-w16,20,10194542,1130724,1,202,9
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-repair4-w32,130,78263126,8607639,3,2129,75
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-supplement-20260913-r1-full,32,18490183,1796788,1,734,23
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-supplement-20260913-r2-full,25,161975,23383,1,5,6
oas-api222-20260912-r1,skills100/glm5/skills100-glm5-w128,1105,67663359,13168241,4,11198,443
oas-api222-20260912-r1,skills100/gptoss/skills100-gptoss-local-20260913-r1-full,915,152133812,26920963,7,12687,375
oas-api222-20260912-r1,skills100/gptoss/skills100-gptoss-local-20260913-r1-resume2,35,260135,35717,1,7,8
oas-api222-20260912-r1,skills100/gptoss/skills100-gptoss-local-20260913-r1-retry1,87,19449827,2879065,1,1075,44
oas-api222-20260912-r1,skills100/gptoss/skills100-gptoss-local-20260913-r1-smoke,15,1067504,247116,1,135,7
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-healthfix-20260913-r1-egressfix-full,23,9335737,1024711,1,255,13
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-healthfix-20260913-r1-egressfix-smoke,10,4369309,446182,1,68,5
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-healthfix-20260913-r1-smoke,11,1479608,208431,1,75,7
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-parallel1-w128,1115,52241776,8879676,3,7234,371
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-repair1-smoke,6,266707,32846,1,13,5
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-repair2-smoke,15,1161359,210327,1,135,7
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-repair2-w32,178,32807124,3846538,1,1690,111
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-repair3-w8,25,2433625,351382,1,119,21
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-repair4-w8,895,303723754,34220672,9,12497,395
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-supplement-20260913-r1-full,38,5892540,967588,1,421,19
oas-api222-20260912-r1,skills100/qwen/skills100-qwen-supplement-20260913-r2-full,415,3330371,427658,1,83,84
openagentsafety,first-instance.txt,1,23,153,1,0,0
openagentsafety,mgulavani__openagentsafety_full_updated_v3-train,29755,3152629623,484702040,116,265633,10878
openagentsafety,npc-smoke-backdoor.txt,1,16,149,1,0,0
openagentsafety,pilot-no-deps-10.txt,1,192,226,1,0,0
openagentsafety,pilot-no-deps-baseline-failures.txt,1,36,172,1,0,0
openagentsafety,pilot-no-deps-baseline-missing.txt,1,20,161,1,0,0
openagentsafety,pilot-no-deps-baseline-postfix-successes.txt,1,176,238,1,0,0
openagentsafety,pilot-no-deps-baseline-remaining-failures.txt,1,16,167,1,0,0
openagentsafety,pilot-no-deps-baseline-successes.txt,1,156,225,1,0,0
openagentsafety,pilot-no-deps-treatment-portfix-remaining-6.txt,1,113,215,1,0,0
saber-v10-count-diagnostic-r2,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-none,3,239126,26588,1,3,0
saber-v10-hooks-mistral-20260908-r1,full/raw/codex_mistral_hooks_20260908_r1_codex-native-safety-orchestrator,716,23510959,2970542,1,262,33
saber-v10-hooks-mistral-20260908-r1,judged-api-deepseek-v4-flash-low-r1,578,155112654,26818928,7,1562,40
saber-v10-hooks-mistral-20260908-r1,judged-api-deepseek-v4-flash-low-r1/codex_mistral_hooks_20260908_r1_codex-native-safety-orchestrator/A,56,17723936,2943379,1,100,3
saber-v10-hooks-mistral-20260908-r1,judged-api-deepseek-v4-flash-low-r1/codex_mistral_hooks_20260908_r1_codex-native-safety-orchestrator/B,44,12148879,1890389,1,161,1
saber-v10-hooks-mistral-20260908-r1,judged-api-deepseek-v4-flash-low-r1/codex_mistral_hooks_20260908_r1_codex-native-safety-orchestrator/C,52,15030495,2465024,1,261,2
saber-v10-hooks-mistral-20260908-r1,pilot/raw/codex_mistral_hooks_20260908_r1_codex-native-safety-orchestrator,4,163187,22841,1,0,0
saber-v10-paired-20260906-r7,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-none,52,1781446,182523,1,88,6
saber-v10-paired-20260907-r1,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-none,52,1965541,213045,1,66,2
saber-v10-paired-20260907-r2,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-none,52,2043174,230581,1,39,3
saber-v10-paired-20260907-r3,pilot/raw/codex_deepseek_flash_v10_paired_20260906_r1_codex-native-none,52,3236926,627434,1,58,6
saber-v10-paired-20260907-r3,pilot/raw/codex_deepseek_flash_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,3490087,800757,1,11,5
saber-v10-paired-20260907-r3,pilot/raw/codex_glm_v10_paired_20260906_r1_codex-native-none,52,1444939,141562,1,45,4
saber-v10-paired-20260907-r3,pilot/raw/codex_glm_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,2192750,341804,1,5,5
saber-v10-paired-20260907-r3,pilot/raw/codex_gptoss_v10_paired_20260906_r1_codex-native-none,52,547574,64243,1,20,2
saber-v10-paired-20260907-r3,pilot/raw/codex_gptoss_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,1026405,183374,1,8,3
saber-v10-paired-20260907-r3,pilot/raw/codex_minimax_v10_paired_20260906_r1_codex-native-none,52,1083162,100027,1,33,4
saber-v10-paired-20260907-r3,pilot/raw/codex_minimax_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,1264835,149152,1,17,3
saber-v10-paired-20260907-r3,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-none,52,2842392,475949,1,77,2
saber-v10-paired-20260907-r3,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,1582511,203396,1,5,3
saber-v10-paired-20260907-r4,pilot/raw/codex_deepseek_flash_v10_paired_20260906_r1_codex-native-none,52,2496950,368049,1,92,6
saber-v10-paired-20260907-r4,pilot/raw/codex_deepseek_flash_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,3205785,721494,1,8,5
saber-v10-paired-20260907-r4,pilot/raw/codex_glm_v10_paired_20260906_r1_codex-native-none,52,1508668,152855,1,48,4
saber-v10-paired-20260907-r4,pilot/raw/codex_glm_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,1614608,242837,1,12,4
saber-v10-paired-20260907-r4,pilot/raw/codex_gptoss_v10_paired_20260906_r1_codex-native-none,52,558647,64975,1,17,2
saber-v10-paired-20260907-r4,pilot/raw/codex_gptoss_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,1316607,260539,1,0,2
saber-v10-paired-20260907-r4,pilot/raw/codex_minimax_v10_paired_20260906_r1_codex-native-none,52,1252612,120095,1,66,4
saber-v10-paired-20260907-r4,pilot/raw/codex_minimax_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,1310357,151566,1,13,5
saber-v10-paired-20260907-r4,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-none,52,2323876,240518,1,64,4
saber-v10-paired-20260907-r4,pilot/raw/codex_mistral_v10_paired_20260906_r1_codex-native-safety-orchestrator,52,1580133,212922,1,5,4
saber-v9-full-20260905-r1,judged-provisional-r2,13396,27716159,2799007,1,64,13391
saber-v9-full-20260905-r1,raw,3684,89040332,14322000,4,978,152
terminal-api-foreign-20260913-r1,rick-saber-tbapi-claude-20260913-r1-full,481,2171380,389349,1,0,58
terminal-api-foreign-20260913-r1,rick-saber-tbapi-claude-20260913-r1-smoke,99,367059,58091,1,0,14
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gemini-20260913-r1-full,3611,44938926,4916918,2,1,531
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gemini-20260913-r1-resume2,2001,23292305,7177988,2,57,162
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gemini-20260913-r1-retry1,520,6350437,1162447,1,5,39
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gemini-20260913-r1-smoke,92,404120,64147,1,0,12
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gpt-20260913-r1-full,3176,23703493,4315153,2,21,472
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gpt-20260913-r1-resume2,631,8742015,1874470,1,0,90
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gpt-20260913-r1-retry1,244,1127444,245431,1,4,37
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gpt-20260913-r1-smoke,75,366204,71681,1,0,12
terminal-api-foreign-20260913-r1,rick-saber-tbapi-gpt-20260913-r1-wsrepair1-smoke,38,168312,36414,1,0,8
terminal-bench,rick-saber-tb21-full-glm-20260911-r1,3748,16031629,2834513,1,4,519
terminal-bench,rick-saber-tb21-full-glm-20260911-r3,4583,210100827,4598946,2,45,476
terminal-bench,rick-saber-tb21-full-gptoss-20260911-r1,2470,7934248,1903504,1,1,512
terminal-bench,rick-saber-tb21-full-gptoss-20260911-r3,2894,10958120,2316165,1,1,468
terminal-bench,rick-saber-tb21-full-mistral-20260911-r3,2066,7130655,1393662,1,5,238
terminal-bench,rick-saber-tb21-pilot-full-glm-20260911-r1,49,229911,24616,1,0,7
terminal-bench,rick-saber-tb21-pilot-full-glm-20260911-r2,54,308773,31880,1,0,7
terminal-bench,rick-saber-tb21-pilot-oracle-20260911-r1,18,20754,5422,1,0,8
terminal-bench,rick-saber-tb21-pilot-oracle-20260911-r2,17,10024,3502,1,0,7
terminal-bench,rick-saber-tb21-repair-glm-20260911-r2,224,1155347,132466,1,0,18
terminal-bench,rick-saber-tb21-repair-gptoss-20260911-r2,96,579905,99019,1,0,17
terminal-bench,rick-saber-terminal-62-mistral-20260910-r1,2273,16285188,2527096,1,0,86
terminal-bench,rick-saber-terminal-62-mistral-20260910-r2,15026,129389060,15919609,4,202,876
terminal-bench,rick-saber-terminal-cert-full-20260908-r1,33,75775,24023,1,0,6
terminal-bench,rick-saber-terminal-cert-oracle-20260908-r1,16,10856,3694,1,0,6
terminal-bench,rick-saber-terminal-formal-glm-20260910-r2,893,6455498,548605,1,8,618
terminal-bench,rick-saber-terminal-formal-gptoss-20260910-r2,875,5774565,445376,1,8,622
terminal-bench,rick-saber-terminal-gate-glm-20260910-r2,33,91459,20443,1,1,6
terminal-bench,rick-saber-terminal-gate-glm-20260910-r3,33,112253,26812,1,0,6
terminal-bench,rick-saber-terminal-gate-gptoss-20260910-r2,28,34598,14914,1,0,7
terminal-bench,rick-saber-terminal-hooks-minimax-20260911-r1,9667,102322914,13398912,4,22,329
terminal-bench,rick-saber-terminal-hooks-mistral-20260911-r1,15854,119264960,18142071,5,122,925
terminal-bench,rick-saber-terminal-infra-20260908-r1,15,7211,2436,1,0,6
terminal-bench,rick-saber-terminal-native-oracle-20260910-r1,14,59295,10095,1,0,9
terminal-bench,rick-saber-terminal-native-oracle-20260910-r2,22,14559,4869,1,0,9
terminal-bench,rick-saber-terminal-native-oracle-20260910-r3,20,56945,12066,1,0,12
terminal-bench,rick-saber-terminal-native-oracle-20260910-r4,19,27186,6590,1,0,13
terminal-bench,rick-saber-terminal-native-oracle-20260910-r5,19,26979,6586,1,0,13
terminal-bench,rick-saber-terminal-native-oracle-20260910-r6,14,55283,8087,1,0,11
terminal-bench,rick-saber-terminal-native-oracle-20260910-r7,22,48860,11543,1,0,9
terminal-bench,rick-saber-terminal-network-repair-20260910-r1,65,93714,18260,1,0,39
terminal-bench,rick-saber-terminal-network-repair-20260910-r2,68,44590,11714,1,0,30
terminal-bench,rick-saber-terminal-repair-pilot-glm-20260910-r1,84,268292,53301,1,0,12
terminal-bench,rick-saber-terminal-repair-pilot-gptoss-20260910-r1,62,131090,34766,1,0,12
terminal-bench,rick-saber-terminal-utility-minimax-20260911-r1,1072,4352093,767379,1,12,76
terminal-bench,rick-saber-terminal-utility-regrade-20260911-r1,3149,20679926,3195771,1,24,170
terminal-bench,rick-saber-terminal-utility-regrade-20260911-r2,2221,15737606,2472999,1,0,92
terminal-gptoss-skills-20260913-r1,rick-saber-tbgptoss-20260913-r1-full,3056,16313052,2836594,1,2,478
terminal-gptoss-skills-20260913-r1,rick-saber-tbgptoss-20260913-r1-resume2,674,6979858,1113967,1,4,107
terminal-gptoss-skills-20260913-r1,rick-saber-tbgptoss-20260913-r1-retry1,253,1297159,282345,1,3,38
terminal-gptoss-skills-20260913-r1,rick-saber-tbgptoss-20260913-r1-smoke,95,400379,66742,1,0,14
terminal-gptoss-skills-20260913-r1,rick-saber-tbgptoss-20260913-r1-wsrepair1-smoke,56,94009,22572,1,0,8
saber-source-results,codex_deepseek_official_codex-native-none,1,3028,1340,1,0,0
saber-source-results,codex_deepseek_v4_flash_codex-native-none,1,3106,1396,1,0,0
saber-source-results,codex_deepseek_v4_flash_local_baseline_716_codex-native-none,716,179684188,37607404,9,1248,95
saber-source-results,codex_deepseek_v4_flash_local_treatment_716_codex-native-safety-orchestrator,716,39485428,8267503,2,285,34
saber-source-results,codex_deepseek_v4_pro_codex-native-none,1,2945,1271,1,0,0
saber-source-results,codex_deepseek_v4_pro_codex-native-safety-orchestrator,273,84709082,16313537,4,227,29
saber-source-results,codex_glm47_flash_baseline_716_codex-native-none,716,20629842,2029434,1,931,43
saber-source-results,codex_glm47_flash_safety_v5_pilot_r1_codex-native-safety-orchestrator,12,802433,286181,1,4,1
saber-source-results,codex_glm47_flash_safety_v6_pilot_r2_codex-native-safety-orchestrator,12,295339,52707,1,2,1
saber-source-results,codex_glm47_flash_safety_v7_pilot_r3_codex-native-safety-orchestrator,12,182549,28824,1,0,1
saber-source-results,codex_glm47_flash_safety_v8_pilot_r4_codex-native-safety-orchestrator,12,264289,42584,1,0,1
saber-source-results,codex_glm47_flash_safety_v9_pilot_r5_codex-native-safety-orchestrator,12,262573,48294,1,0,1
saber-source-results,codex_glm47_flash_smoke_codex-native-none,1,2641192,47572,1,0,1
saber-source-results,codex_glm47_flash_smoke_v2_codex-native-none,1,2962,1271,1,0,0
saber-source-results,codex_glm47_flash_treatment_716_codex-native-safety-orchestrator,716,19787795,2478769,1,559,47
saber-source-results,codex_gptoss120b_baseline_716_codex-native-none,716,5177601,1024967,1,209,24
saber-source-results,codex_gptoss120b_smoke_codex-native-none,1,1728,935,1,0,0
saber-source-results,codex_gptoss120b_treatment_716_codex-native-safety-orchestrator,716,13291193,2503009,1,149,13
saber-source-results,codex_minimax_m25_baseline_716_codex-native-none,716,13673929,1398098,1,623,53
saber-source-results,codex_minimax_m25_smoke_codex-native-none,1,1080,773,1,0,0
saber-source-results,codex_minimax_m25_smoke_v2_codex-native-none,1,2785,1105,1,0,0
saber-source-results,codex_minimax_m25_treatment_716_codex-native-safety-orchestrator,716,14805742,1798474,1,168,33
saber-source-results,codex_mistral_small4_119b_baseline_716_codex-native-none,716,23463948,2810582,1,707,35
saber-source-results,codex_mistral_small4_119b_treatment_716_codex-native-safety-orchestrator,716,20983998,2769028,1,245,31
saber-source-results,codex_qwen35_2b_smoke_codex-native-none,1,1949,712,1,0,0
saber-source-results,codex_qwen38_27b_baseline_716_codex-native-none,716,176075442,32483736,8,870,75
saber-source-results,codex_qwen38_27b_smoke_codex-native-none,1,863,673,1,0,0
saber-source-results,codex_qwen38_27b_smoke_v2_codex-native-none,1,935,714,1,0,0
saber-source-results,codex_qwen38_27b_smoke_v3_codex-native-none,1,2545,1008,1,0,0
saber-source-results,codex_qwen38_27b_treatment_716_codex-native-safety-orchestrator,716,34001764,7027372,2,321,42
saber-source-judged,codex_glm47_flash_baseline_716_codex-native-none,717,787787,103249,1,14,4
saber-source-judged,codex_gptoss120b_baseline_716_codex-native-none,717,416060,57528,1,1,0
saber-source-judged,codex_minimax_m25_baseline_716_codex-native-none,717,475816,72899,1,10,1
saber-source-judged,codex_qwen38_27b_baseline_716_codex-native-none,717,19608426,1442765,1,2,2
saber-source-judged_deepseek_v4_flash,codex_deepseek_official_codex-native-none,2,1169,709,1,0,0
saber-source-judged_deepseek_v4_flash,codex_deepseek_v4_flash_codex-native-none,2,1169,705,1,0,0
saber-source-judged_deepseek_v4_flash,codex_deepseek_v4_flash_local_baseline_716_codex-native-none,717,621792,110236,1,10,1
saber-source-judged_deepseek_v4_flash,codex_deepseek_v4_flash_local_treatment_716_codex-native-safety-orchestrator,717,613881,126858,1,0,1
saber-source-judged_deepseek_v4_flash,codex_deepseek_v4_pro_codex-native-none,2,1167,707,1,0,0
saber-source-judged_deepseek_v4_flash,codex_deepseek_v4_pro_codex-native-safety-orchestrator,274,204853,39905,1,0,0
saber-source-judged_deepseek_v4_flash,codex_glm47_flash_baseline_716_codex-native-none,717,853092,124583,1,21,5
saber-source-judged_deepseek_v4_flash,codex_glm47_flash_smoke_codex-native-none,2,3961846,71252,1,0,1
saber-source-judged_deepseek_v4_flash,codex_glm47_flash_smoke_v2_codex-native-none,2,1185,725,1,0,0
saber-source-judged_deepseek_v4_flash,codex_glm47_flash_treatment_716_codex-native-safety-orchestrator,717,698279,111975,1,13,1
saber-source-judged_deepseek_v4_flash,codex_gptoss120b_baseline_716_codex-native-none,717,477273,82949,1,1,0
saber-source-judged_deepseek_v4_flash,codex_gptoss120b_smoke_codex-native-none,2,1168,716,1,0,0
saber-source-judged_deepseek_v4_flash,codex_gptoss120b_treatment_716_codex-native-safety-orchestrator,717,551639,106493,1,0,0
saber-source-judged_deepseek_v4_flash,codex_minimax_m25_baseline_716_codex-native-none,717,529451,89290,1,21,1
saber-source-judged_deepseek_v4_flash,codex_minimax_m25_smoke_codex-native-none,2,1870,1081,1,0,0
saber-source-judged_deepseek_v4_flash,codex_minimax_m25_smoke_v2_codex-native-none,2,1172,717,1,0,0
saber-source-judged_deepseek_v4_flash,codex_minimax_m25_treatment_716_codex-native-safety-orchestrator,717,536503,101534,1,1,0
saber-source-judged_deepseek_v4_flash,codex_mistral_small4_119b_baseline_716_codex-native-none,717,2154363,337914,1,32,6
saber-source-judged_deepseek_v4_flash,codex_mistral_small4_119b_treatment_716_codex-native-safety-orchestrator,717,838549,143880,1,2,0
saber-source-judged_deepseek_v4_flash,codex_qwen35_2b_smoke_codex-native-none,2,1327,819,1,0,0
saber-source-judged_deepseek_v4_flash,codex_qwen38_27b_baseline_716_codex-native-none,717,19641488,1457650,1,2,2
saber-source-judged_deepseek_v4_flash,codex_qwen38_27b_smoke_codex-native-none,2,1170,722,1,0,0
saber-source-judged_deepseek_v4_flash,codex_qwen38_27b_smoke_v2_codex-native-none,2,1463,893,1,0,0
saber-source-judged_deepseek_v4_flash,codex_qwen38_27b_smoke_v3_codex-native-none,2,1171,713,1,0,0
saber-source-judged_deepseek_v4_flash,codex_qwen38_27b_treatment_716_codex-native-safety-orchestrator,191,500535,75120,1,4,1
